video_id,collected_at,views,likes,comment_count
xRdn57rUDZM,2026-03-16 12:56:49,428228,5393,95
rLI8Oj-vws8,2026-03-16 12:56:49,553528,4931,55
xFz-IZa0rgQ,2026-03-16 12:56:49,1663786,30202,395
9Rrs2BcNlow,2026-03-16 12:56:49,1296966,16731,132
6KtiYF7PtuA,2026-03-16 12:56:49,375174,5495,70
GDsTGyITkl4,2026-03-16 12:56:49,57295,723,63
5t_d2OPH6Jc,2026-03-16 12:56:49,580006,10963,94
cRFaRwIC550,2026-03-16 12:56:49,108920,1755,815
rHBcP0Ni5AM,2026-03-16 12:56:49,2157007,19025,91
OL7-q2ZDAA8,2026-03-16 12:56:49,444525,30132,121
wfBrK_cDFaI,2026-03-16 12:56:49,184795,11026,49
UwjImOQE1E0,2026-03-16 12:56:49,118012,6920,38
n55nhQi26do,2026-03-16 12:56:49,121881,7229,35
EmJ_eOk4n7k,2026-03-16 12:56:49,179674,10445,43
uerz_rHY1ow,2026-03-16 12:56:49,304353,17973,47
x-APnFsCXnM,2026-03-16 12:56:49,375968,20623,82
ROrvqSCVbOA,2026-03-16 12:56:49,310912,20818,85
KK9U6KNUgdg,2026-03-16 12:56:49,173642,12713,47
43rg7fBNP2w,2026-03-16 12:56:49,1021824,11778,36
IWcKKaxrOYY,2026-03-16 12:56:49,147255,3580,37
avYbG0g23VI,2026-03-16 12:56:49,212403,3534,93
OzybsBxjxnM,2026-03-16 12:56:49,0,0,0
k6h4di61UFQ,2026-03-16 12:56:49,391311,10445,67
IY2Zpv3Cqfk,2026-03-16 12:56:49,5277897,251605,1195
lXeIcTgEbZ8,2026-03-16 12:56:49,450679,25768,119
oHrAKJY76Ws,2026-03-16 12:56:49,109908,6101,22
minl0gNzvlA,2026-03-16 12:56:49,223703,7041,110
e6_ROnjgJMk,2026-03-16 12:56:49,23245,554,67
lJHDegh0BT0,2026-03-16 12:56:49,2970074,106734,707
xdO9mIwuZ14,2026-03-16 12:56:49,346549,19566,135
Obeih82jHIo,2026-03-16 12:56:49,141681,8400,70
fLa4uKwK3gM,2026-03-16 12:56:49,330510,18089,123
zVDteplotlA,2026-03-16 12:56:49,170333,13460,45
J3Qqb4ix_H0,2026-03-16 12:56:49,147113,7186,67
rO65l0NRjwo,2026-03-16 12:56:49,1163395,24109,343
AxlT7VSkyl0,2026-03-16 12:56:49,493893,14609,78
OtNC7NwVQjU,2026-03-16 12:56:49,110565,2843,49
absO1bSE0sM,2026-03-16 12:56:49,120004,5056,36
st_z5Tbyjeo,2026-03-16 12:56:49,2415581,48453,161
UB3Izqs817g,2026-03-16 12:56:49,90418,2104,33
UJ4aACNFkxQ,2026-03-16 12:56:49,183372,2444,30
exksOPRLOsI,2026-03-16 12:56:49,95663,1804,25
igjlc8V6Kc0,2026-03-16 12:56:49,98549,2960,181
1wIVlzUPWZ0,2026-03-16 12:56:49,68679,1544,20
e0ERQkEIcWQ,2026-03-16 12:56:49,102210,2013,38
BoTjkpZmRow,2026-03-16 12:56:49,65056,3285,99
yl-qOEbc-aU,2026-03-16 12:56:49,171345,5814,133
Uci74Cq5Q9A,2026-03-16 12:56:49,149411,5090,188
CbvUR9mCoeg,2026-03-16 12:56:49,76750,3029,82
7vV94rbpk5s,2026-03-16 12:56:49,138438,3450,29
YsOe2wwIEyA,2026-03-16 12:56:49,79283,1929,23
H38ach0TmWM,2026-03-16 12:56:49,168644,6153,132
jWfJUiH9xoc,2026-03-16 12:56:49,153886,2696,35
v0bT2aOvdWs,2026-03-16 12:56:49,103613,3133,185
Fihj6SW1V3Q,2026-03-16 12:56:49,227817,8121,198
5T8uxspILeM,2026-03-16 12:56:49,229347,9092,173
-Wm8R8hz28M,2026-03-16 12:56:49,72035,1417,10
u1zmDxsTsWg,2026-03-16 12:56:49,83081,1140,13
VIVWD-499pw,2026-03-16 12:56:49,171498,2738,49
6G5iQA_Ne5s,2026-03-16 12:56:49,106337,2590,30
qzTqCic3AnY,2026-03-16 12:56:49,189824,6407,280
